mol,sigma-p,sigma-m,p-Mulliken,m-Mulliken,p-xTB-Mulliken,m-xTB-Mulliken,p-NPA,m-NPA,p-MBS-Mulliken,m-MBS-Mulliken,p-Hirshfeld,m-Hirshfeld,p-Iterative Hirshfeld,m-Iterative Hirshfeld,p-ML-QMDESC Hirshfeld,m-ML-QMDESC Hirshfeld,p-CHELPG,m-CHELPG,p-MKUFF,m-MKUFF,p-HLYGAt,m-HLYGAt,p-APT,m-APT,p-CM5,m-CM5,p-xTB-CM5,m-xTB-CM5,p-Iterative CM5,m-Iterative CM5,p-NMR (GIAO),m-NMR (GIAO),p-NMR (CSGT),m-NMR (CSGT),p-NMR (IGAIM),m-NMR (IGAIM),p-NMR (ML-CASCADE),m-NMR (ML-CASCADE),p-NMR (ML-QMDESC),m-NMR (ML-QMDESC)
1,-0.17,-0.07,0.106749,0.10583100000000001,-0.0347,-0.02679,-0.21867,-0.19912,-0.109627,-0.103229,-0.046215,-0.041378,-0.10732,-0.0811795,-0.043533806,-0.038924202,-0.116113,-0.059868000000000005,-0.179692,-0.08406649999999999,-0.186817,-0.090044,-0.099783,-0.0144765,-0.102161,-0.0972225,-0.09065,-0.082635,-0.163266,-0.137024,53.0793,50.01525,50.8072,47.77335,50.8224,47.78845,126.09,128.35,69.81199646,66.87653351
2,-0.66,-0.16,0.101737,0.103036,-0.05504,-0.02303,-0.2552,-0.18305,-0.130991,-0.095029,-0.0635,-0.04136,-0.152201,-0.050984,-0.061818093,-0.039878063,-0.125126,-0.0662395,-0.160296,-0.1093005,-0.157922,-0.1312275,-0.269663,0.1134985,-0.119459,-0.096894,-0.111,-0.07856,-0.208161,-0.106518,61.8922,48.68115,59.5165,46.35635,59.5315,46.37125,117.67,129.52,77.92490387,66.29174805
3,-0.37,0.12,0.106661,0.109618,-0.05036,-0.021765,-0.24344,-0.183965,-0.122591,-0.094727,-0.056298,-0.037195,-0.139792,-0.043233999999999995,-0.054587409,-0.0355390815,-0.169902,-0.027167,-0.213204,-0.05984249999999999,-0.214206,-0.0719685,-0.203052,0.0742755,-0.112277,-0.0928605,-0.10634,-0.077435,-0.195771,-0.098899,59.1579,48.37795,56.8242,46.114450000000005,56.839,46.129149999999996,120.99,129.94,75.9250412,65.64602661
4,0.06,0.34,0.113742,0.11815,-0.03944,-0.02065,-0.2257,-0.18702,-0.111044,-0.094942,-0.045683,-0.032018,-0.120191,-0.0428865,-0.042534225,-0.031196605,-0.159784,-0.0229235,-0.219863,-0.044588,-0.20919,-0.0709935,-0.120406,0.0247495,-0.101648,-0.087675,-0.09541,-0.0763,-0.176157,-0.098543,54.9841,48.0922,52.8199,45.94085,52.8343,45.9551,124.94,130.38,71.47977448,65.5269928
5,0.23,0.37,0.114894,0.115807,-0.03458,-0.02074,-0.21404,-0.19108,-0.103836,-0.096403,-0.039424,-0.032251,-0.104209,-0.063194,-0.038502891,-0.031435154,-0.066737,-0.1029685,-0.06107,-0.20346350000000002,-0.087506,-0.2043605,-0.081785,-0.0037695000000000003,-0.095398,-0.088057,-0.09055,-0.07655,-0.160183,-0.119,52.7075,48.7352,50.725,46.6954,50.7396,46.7099,127.13,129.63,69.62817383,65.91110229
6,0.23,0.39,0.115494,0.116521,-0.03398,-0.02305,-0.21182,-0.19085,-0.101428,-0.096527,-0.037845,-0.031774,-0.101007,-0.065898,-0.036597636,-0.030102187500000002,-0.094015,-0.086525,-0.04018,-0.226858,-0.041125,-0.2581075,-0.073737,-0.00243,-0.093824,-0.087646,-0.08997,-0.07892,-0.156986,-0.12177,52.0055,48.64945,50.0442,46.59155,50.0574,46.60425,129.39,130.19,68.81111908,65.58060455
7,0.18,0.35,0.115617,0.116316,-0.03465,-0.02472,-0.20983,-0.19215,-0.102622,-0.09703149999999999,-0.036746,-0.032169,-0.097834,-0.070206,-0.035268806,-0.0299163925,-0.055681,-0.116981,0.038389,-0.3111585,0.054823,-0.3714905,-0.085671,-0.0053085,-0.092726,-0.088068,-0.09063,-0.08061,-0.153814,-0.126105,51.3446,48.624,49.398,46.513,49.4124,46.5272,131.42,131.37,68.30947876,65.81150055
8,-0.15,-0.07,0.1063678628644613,0.10530525992530876,-0.0340655532047924,-0.026968092690395448,-0.2179244938279368,-0.1999464181849406,-0.1096110820306915,-0.1035232689005903,-0.046184599334358,-0.0418214459733138,-0.1066853977280614,-0.0822431531250945,-0.042658553,-0.038340148,-0.0724639636990512,-0.08967125837984524,-0.1207616911281171,-0.1379539229629562,-0.1215279333545333,-0.13798807081915132,-0.095363617366191,-0.016769205817352598,-0.1021364425638339,-0.09768716425669775,-0.0900155532047924,-0.0828296817556789,-0.1626366096034326,-0.13810837140847845,53.07933200100135,49.98495032751177,50.64535229101031,47.68379699615779,50.66055229101032,47.69881542845255,125.96,128.57,69.61449432,66.93556213
9,-0.15,-0.04,0.106253,0.10499349999999999,-0.03287,-0.02732,-0.21724,-0.199705,-0.10915,-0.103618,-0.045935,-0.041656,-0.106315,-0.0833625,-0.042918291,-0.038846366,-0.125469,-0.043115,-0.204142,-0.055039500000000005,-0.202693,-0.067352,-0.093779,-0.0148745,-0.101887,-0.09753500000000001,-0.08883,-0.08319499999999999,-0.162266,-0.139241,52.5255,49.8802,50.0938,47.57925,50.109,47.594300000000004,126.33,128.905,69.68173981,66.94159698
10,-0.2,-0.1,0.105319,0.1041405,-0.03274,-0.02741,-0.21628,-0.199815,-0.108892,-0.1039755,-0.04608,-0.042337,-0.106377,-0.0849935,-0.042752918,-0.03991735,-0.105862,-0.0621555,-0.182671,-0.066603,-0.181458,-0.0797175,-0.099087,-0.012341999999999999,-0.102045,-0.0983165,-0.0887,-0.083395,-0.162343,-0.1409735,53.0466,50.4574,50.6399,48.10295,50.6552,48.117999999999995,126.4,128.625,69.21689606,66.68695831
