mol,sigma-p,sigma-m,p-Mulliken,m-Mulliken,p-xTB-Mulliken,m-xTB-Mulliken,p-NPA,m-NPA,p-MBS-Mulliken,m-MBS-Mulliken,p-Hirshfeld,m-Hirshfeld,p-Iterative Hirshfeld,m-Iterative Hirshfeld,p-ML-QMDESC Hirshfeld,m-ML-QMDESC Hirshfeld,p-CHELPG,m-CHELPG,p-MKUFF,m-MKUFF,p-HLYGAt,m-HLYGAt,p-APT,m-APT,p-CM5,m-CM5,p-xTB-CM5,m-xTB-CM5,p-Iterative CM5,m-Iterative CM5,p-NMR (GIAO),m-NMR (GIAO),p-NMR (CSGT),m-NMR (CSGT),p-NMR (IGAIM),m-NMR (IGAIM),p-NMR (ML-CASCADE),m-NMR (ML-CASCADE),p-NMR (ML-QMDESC),m-NMR (ML-QMDESC)
1,-0.17,-0.07,0.106749,0.10583100000000001,0.02816,0.02791,0.20766,0.20689,0.10271,0.10292699999999999,0.038663,0.0391645,0.091894,0.091889,0.037112869,0.037010310000000005,0.086343,0.079592,0.1289,0.1187115,0.134897,0.1261005,0.046562,0.0406185,0.0946,0.095132,0.0841,0.08388000000000001,0.147831,0.1478565,24.5184,24.391750000000002,50.8072,47.77335,24.5066,24.37445,126.09,128.35,24.67409515,24.776937484999998
2,-0.66,-0.16,0.101737,0.103036,0.02584,0.02485,0.20761,0.20595,0.100108,0.102082,0.034803,0.038691,0.091419,0.0918895,0.036086209,0.0338729005,0.078981,0.0826655,0.115566,0.120585,0.122956,0.13116,0.046426,0.042646500000000004,0.090775,0.094727,0.08181,0.08089,0.147391,0.1479255,25.048,24.5478,59.5165,46.35635,25.0679,24.5342,117.67,129.52,24.83058929,25.114791869999998
3,-0.37,0.12,0.106661,0.109618,0.03054,0.030295,0.2097,0.20877,0.103515,0.106351,0.037936,0.0416325,0.093986,0.096194,0.039770734,0.037604619,0.095609,0.0807975,0.132259,0.1184965,0.137644,0.12763649999999999,0.051891,0.049663,0.093947,0.0977085,0.08656,0.08637500000000001,0.149997,0.15227000000000002,24.8349,24.435000000000002,56.8242,46.114450000000005,24.8581,24.41825,120.99,129.94,24.72651482,24.96532822
4,0.06,0.34,0.113742,0.11815,0.03623,0.03672,0.21216,0.21222,0.108056,0.111463,0.041967,0.045102,0.097227,0.100928,0.043272663,0.0414558875,0.099737,0.086511,0.140215,0.120001,0.143454,0.13064,0.058792,0.057953,0.098043,0.101206,0.0923,0.09281,0.153303,0.157032,24.5747,24.3178,52.8199,45.94085,24.6107,24.3138,124.94,130.38,24.64587784,24.708402630000002
5,0.23,0.37,0.114894,0.115807,0.03454,0.03499,0.21253,0.21331,0.109375,0.111675,0.043438,0.04555,0.097967,0.100829,0.042882696,0.0417912845,0.08108,0.095481,0.113558,0.1390035,0.127029,0.1439745,0.058596,0.05164,0.099496,0.101649,0.0906,0.09109,0.154026,0.156927,24.5062,24.3767,50.725,46.6954,24.5523,24.4042,127.13,129.63,24.62070847,24.734363555
6,0.23,0.39,0.115494,0.116521,0.03256,0.03269,0.2129,0.2139,0.109912,0.112093,0.043962,0.045894,0.098381,0.101067,0.043254275,0.042226850999999996,0.087614,0.0946425,0.11093,0.141913,0.120976,0.151013,0.059557,0.0491795,0.100015,0.10198,0.08861,0.08877,0.154434,0.15715249999999997,24.4856,24.4048,50.0442,46.59155,24.5126,24.4291,129.39,130.19,24.51061821,24.61876297
7,0.18,0.35,0.115617,0.116316,0.03036,0.03028,0.21283,0.21388,0.109887,0.1116475,0.044119,0.045614,0.098337,0.10054,0.042679593,0.042246457,0.076828,0.09884,0.097722,0.15273,0.106803,0.1662205,0.054416,0.0375795,0.100155,0.101664,0.08639,0.08632,0.154372,0.15659,24.4786,24.4531,49.398,46.513,24.4964,24.4733,131.42,131.37,24.5667038,24.642151835
8,-0.15,-0.07,0.1063678628644613,0.10530525992530876,0.028137838526203,0.027846503625112,0.2075530926903955,0.20666355829869476,0.1025476262195675,0.10254136329572565,0.0385811435232339,0.038847192004435996,0.0917547454045431,0.0914748951201578,0.03739357,0.037194062,0.0758664709460116,0.0822192126972648,0.1183198258727173,0.1253959342072711,0.1198136125160988,0.12666822249443999,0.0443036091315332,0.039135309895618545,0.0945230884183869,0.09481595684864991,0.0840804656082992,0.08381387654301575,0.1476966902996961,0.1474442913184765,24.49120512641029,24.364253780118062,50.64535229101031,47.68379699615779,24.466495387043445,24.324721358011104,125.96,128.57,24.66077995,24.702996249999998
9,-0.15,-0.04,0.106253,0.10499349999999999,0.0283,0.027970000000000002,0.20763,0.206735,0.102608,0.10251550000000001,0.038641,0.0388155,0.091842,0.09135650000000001,0.037071444,0.0368718655,0.08665,0.07537250000000001,0.131043,0.1124465,0.136251,0.11995800000000001,0.043395,0.038555,0.09458,0.094783,0.08425,0.08393500000000001,0.147781,0.1473235,24.4879,24.3776,50.0938,47.57925,24.4446,24.33295,126.33,128.905,24.70937729,24.7173357
10,-0.2,-0.1,0.105319,0.1041405,0.02822,0.02769,0.20761,0.20628000000000002,0.102404,0.101848,0.03872,0.038377,0.092048,0.090626,0.036489602,0.0368020405,0.083032,0.0757195,0.127536,0.11164650000000001,0.132073,0.121074,0.044865,0.035527500000000004,0.094642,0.0943655,0.08414,0.08368,0.147971,0.1466145,24.5157,24.37055,50.6399,48.10295,24.461,24.31005,126.4,128.625,24.75890732,24.747867585
11,-0.04,0.06,0.109909,0.1084175,0.02972,0.02947,0.20875,0.2086,0.105462,0.1051995,0.040796,0.040956,0.093596,0.094446,0.038955148,0.0390729945,0.085864,0.074884,0.123672,0.1223285,0.131532,0.12941599999999998,0.047768,0.0436715,0.096756,0.0969825,0.08568,0.08549999999999999,0.149555,0.1504725,24.4574,24.346049999999998,48.0949,47.65105,24.4999,24.3094,127.25,128.82999999999998,24.60196114,24.536096569999998
12,0.66,0.56,0.123238,0.1231665,0.03675,0.037885,0.21495,0.217445,0.115564,0.116748,0.048771,0.0493785,0.102083,0.1060025,0.045566585,0.0455493745,0.083011,0.0874365,0.12548,0.122886,0.130735,0.131401,0.06396,0.0605985,0.104829,0.10553850000000001,0.09281,0.09405,0.158141,0.1621625,24.1729,24.246250000000003,44.3354,47.5212,24.1375,24.218249999999998,133.68,129.0,24.41020966,24.383199695000002
13,-0.11,-0.03,0.1081783918139182,0.1073925259279905,0.0285162802773227,0.02820441512893275,0.2082921641457786,0.2073947065012875,0.1037561167710692,0.1036859699025019,0.0394978434811167,0.03962542238571215,0.0927937647959963,0.09260799467736765,0.037279993,0.0375429635,0.0768212968991185,0.07980695280610105,0.1143667018282602,0.1138373368000831,0.1226767145266457,0.11813187882054005,0.045757185632512,0.0400344787979533,0.0954484475393289,0.09559887411339195,0.0844678532516994,0.08417713080308559,0.1487447190703426,0.1485813677563286,24.43722061529972,24.319750926619484,49.735134539189275,47.40025169108412,24.421075005426808,24.287379391506942,126.58,128.33,24.69525719,24.712653160000002
14,-0.7,-0.21,0.099773,0.10158700000000001,0.02466,0.023575,0.20697,0.20514,0.099018,0.100938,0.03388,0.037789500000000004,0.090343,0.09059,0.035420496,0.0332650915,0.09069,0.077844,0.137407,0.11865500000000001,0.142796,0.12537,0.043896,0.040144,0.089834,0.093834,0.08062,0.07962,0.146297,0.1466345,25.0257,24.4957,60.1654,46.4183,25.0544,24.466700000000003,117.58,129.36,24.92777252,25.091988565
